[Script Info]
; Script generated by Aegisub 3.2.2
; http://www.aegisub.org/
Title: animesubtitle.ir
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 848
PlayResY: 480
ScaledBorderAndShadow: yes
YCbCr Matrix: TV.601

[Aegisub Project Garbage]
Last Style Storage: Default
Audio File: Spy x Family - 01.mkv
Video File: Spy x Family - 01.mkv
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 482
Active Line: 487
Video Position: 34223

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,2,10,10,28,1
Style: main,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,2,10,10,28,1
Style: top,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,8,10,10,28,1
Style: italics,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,2,10,10,28,1
Style: italicstop,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,8,0,0,28,1
Style: flashback,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,2,10,10,28,1
Style: flashback italics,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,2,10,10,28,1
Style: flashbacktop,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,8,0,0,28,1
Style: flashbackitalicstop,B Koodak,36,&H00FFFFFF,&H000000FF,&H007D4E07,&H96000000,-1,0,0,0,100,100,0,0,1,1.7,0,8,0,0,28,1
Style: sign_6041_79_OPERATION_STRIX,B Koodak,36,&H19FFFFFF,&H000000FF,&H7D000000,&H96000000,-1,0,0,0,100,100,0,0,1,2,1,1,30,30,20,1
Style: sign_14746_228_CHILDREARING,B Koodak,36,&H00222B2B,&H000000FF,&H00F4FCF6,&H00000000,-1,0,0,0,100,100,0,0,1,4,0,8,30,30,20,1

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:03.28,0:00:05.48,main,Diplomat,0,0,0,,چقدر دیگه تا سفارت مونده ؟
Dialogue: 0,0:00:06.68,0:00:09.07,main,Driver,0,0,0,,فکر میکنم حدوداً 20 دقیقه ، قربان
Dialogue: 0,0:00:09.63,0:00:10.47,main,Driver,0,0,0,,ها ؟
Dialogue: 0,0:00:10.69,0:00:11.97,main,Driver,0,0,0,,ترمز کار نمیکنه
Dialogue: 0,0:00:11.97,0:00:15.16,main,Diplomat,0,0,0,,! هی ، تو ! جلوت ! جلوت رو نگاه کن
Dialogue: 0,0:00:19.47,0:00:24.08,main,Member A,0,0,0,,یکی از دیپلماتهامون توی یه تصادف \Nتوی اوستانیا کشته شده
Dialogue: 0,0:00:24.41,0:00:29.42,main,Member A,0,0,0,,اما ما باور داریم که توسط جناح راست\N افراطی شرق به قتل رسیده
Dialogue: 0,0:00:29.75,0:00:34.38,main,Member A,0,0,0,,دارن برای جنگ علیه کشور ما وستالیس نقشه می کشند
Dialogue: 0,0:00:34.38,0:00:38.10,top,Member A,0,0,0,,باید برای سردر آوردن از نقشه ی اونها \Nهر کاری از دستمون برمیاد انجام بدیم
Dialogue: 0,0:00:38.10,0:00:39.38,top,Member B,0,0,0,,بسپاریدش به اون
Dialogue: 0,0:00:39.81,0:00:42.38,main,Member B,0,0,0,,بهترین ماموری که داریم
Dialogue: 0,0:00:42.65,0:00:43.65,main,Member B,0,0,0,,گرگ و میش
Dialogue: 0,0:00:45.39,0:00:46.89,main,Man in Coat,0,0,0,,این هم چیزهایی که قولش رو داده بودم
Dialogue: 0,0:00:47.25,0:00:50.00,main,Man in Coat,0,0,0,,مدرک اینکه وزیر امور خارجه کلاه گیس میذاره
Dialogue: 0,0:00:50.00,0:00:51.10,main,Man in Coat,0,0,0,,حتی فیلمش رو هم دارم
Dialogue: 0,0:00:52.65,0:00:53.88,main,Fake Edgar,0,0,0,,کارت خوب بود
Dialogue: 0,0:00:54.28,0:00:56.45,main,Fake Edgar,0,0,0,,حالا می تونیم مجبورش کنیم استعفاء بده
Dialogue: 0,0:00:56.45,0:00:58.40,main,Fake Edgar,0,0,0,,منتظر همکاری مجدد با تو هستیم
Dialogue: 0,0:01:00.77,0:01:01.69,main,Edgar,0,0,0,,هوی
Dialogue: 0,0:01:02.92,0:01:06.03,main,Edgar,0,0,0,,چطوره که حالا اجناسی رو که قولش \Nرو داده بودی رد کنی بیاد ؟
Dialogue: 0,0:01:06.03,0:01:08.51,main,Man in Coat,0,0,0,,... ها ؟ چی ... اما الان
Dialogue: 0,0:01:11.17,0:01:12.30,main,Man in Coat,0,0,0,,! گولم زد
Dialogue: 0,0:01:12.67,0:01:14.66,italics,Narrator,0,0,0,,اسم رمز : گرگ و میش
Dialogue: 0,0:01:15.49,0:01:17.30,italics,Narrator,0,0,0,,یه جاسوس
Dialogue: 0,0:01:20.26,0:01:23.31,italics,Narrator,0,0,0,,در دورانی که کشورهای دنیا دور از انظار عمومی
Dialogue: 0,0:01:23.31,0:01:25.11,italics,Narrator,0,0,0,,جنگ اطلاعات به راه می اندازند
Dialogue: 0,0:01:25.11,0:01:27.58,italics,Narrator,0,0,0,,این مرد با مهارتش در تغییر چهره از اون میدان جنگ
Dialogue: 0,0:01:27.58,0:01:29.88,italics,Narrator,0,0,0,,جان سالم بدر می بره ، مردی صد چهره
Dialogue: 0,0:01:32.06,0:01:34.97,main,Karen,0,0,0,,برای همین بابا این اواخر بخاطر اینکه یکی عکسهای
Dialogue: 0,0:01:34.97,0:01:36.94,main,Karen,0,0,0,,کلاه گیسش رو دزدیده اصلاً اعصاب نداره
Dialogue: 0,0:01:36.94,0:01:39.06,main,Karen,0,0,0,,اصلاً متوجه نمیشم ؟ واقعاً عصبانی ام
Dialogue: 0,0:01:39.25,0:01:41.23,main,Karen,0,0,0,,گوش میکنی چی میگم ، روبرت ؟
Dialogue: 0,0:01:41.23,0:01:43.58,main,Twilight,0,0,0,,هوم ؟ آره ، چه بدشانسی ای
Dialogue: 0,0:01:46.08,0:01:49.52,main,Karen,0,0,0,,... میگم روبرت ... فکر میکنی ما هم یه روزی
Dialogue: 0,0:01:49.52,0:01:51.26,main,Twilight,0,0,0,,کارن ، بیا جدا بشیم
Dialogue: 0,0:01:51.26,0:01:51.93,main,Karen,0,0,0,,!چی ؟
Dialogue: 0,0:01:52.25,0:01:54.72,main,Twilight,0,0,0,,متاسفانه هیچ اطلاعاتی از صحبتهات دریافت نمیکنم
Dialogue: 0,0:01:55.00,0:01:56.84,main,Twilight,0,0,0,,بدرود ، امیدوارم خوشبخت بشی
Dialogue: 0,0:01:56.84,0:02:00.14,main,Karen,0,0,0,,صبر کن ، روبرت ! نمی تونی یهویی\N! اون کار رو با من بکنی
